type,timestamp,price,btc_amount,pct_per_trade,cash_in,cash_out
buy,2026-02-06 05:15:00,65466.12,0.0007637538317529738,0.05,50.0,
sell,2026-02-07 07:00:00,67951.49,3.818769158764869e-05,0.05,,2.5949105430411943
buy,2026-02-07 16:30:00,69332.39,0.0006869768304129148,0.05,47.62974552715207,
sell,2026-02-08 03:00:00,69246.41,7.0627148528912e-05,0.05,,4.890676484163937
buy,2026-02-08 08:15:00,70212.08,0.0006479339748231736,0.05,45.492792075002654,
sell,2026-02-08 23:30:00,70469.73,9.949248984362507e-05,0.05,,7.011208896308
buy,2026-02-09 06:45:00,70667.95,0.000616527193955222,0.05,43.56871291606792,
sell,2026-02-09 08:45:00,69873.99,0.0001253442250492049,0.05,,8.758301127645893
buy,2026-02-09 18:30:00,70437.75,0.0005938320336275196,0.05,41.82819232664682,
sell,2026-02-10 03:00:00,69844.0,0.00014876861547812064,0.05,,10.390595179453857
buy,2026-02-10 17:30:00,69882.28,0.0005760589446893715,0.05,40.256312469287174,
sell,2026-02-10 22:15:00,68686.95,0.00017013313193868317,0.05,,11.685925926815733
buy,2026-02-11 20:45:00,67555.98,0.0005747499058138687,0.05,38.8277931421636,
sell,2026-02-12 06:00:00,67118.0,0.00019036397063244243,0.05,,12.776848980908271
buy,2026-02-12 11:15:00,68208.64,0.0005501538505107393,0.05,37.52524593410083,
sell,2026-02-12 17:00:00,65740.35,0.0002083534646263573,0.05,,13.69722968824935
buy,2026-02-13 02:30:00,66592.23,0.0005456168853604732,0.05,36.33384512180826,
sell,2026-02-14 03:30:00,68950.46,0.00022521663566306307,0.05,,15.528790628620605
buy,2026-02-14 08:00:00,69567.06,0.0005073319527539165,0.05,35.29359239714888,
sell,2026-02-14 20:15:00,69830.88,0.00023932240151760574,0.05,,16.712093901687744
buy,2026-02-14 21:00:00,70211.82,0.0004894406308279121,0.05,34.364517472375816,
sell,2026-02-15 02:15:00,69475.48,0.0002518283129831211,0.05,,17.49589292209257
buy,2026-02-15 06:00:00,70231.5,0.00047729418060075117,0.05,33.52108624486166,
sell,2026-02-15 13:45:00,68930.0,0.00026310160636400253,0.05,,18.135593726670695
buy,2026-02-16 01:45:00,68630.81,0.0004772173258475618,0.05,32.751811618952104,
sell,2026-02-16 02:00:00,68566.13,0.00027380739233818054,0.05,,18.77391325802069
buy,2026-02-16 10:30:00,68785.32,0.00046598484532608893,0.05,32.052916700905534,
sell,2026-02-16 15:45:00,67539.52,0.000283416264987576,0.05,,19.14179849745369
buy,2026-02-16 23:30:00,68684.87,0.00045726752908949154,0.05,31.40736079073294,
sell,2026-02-17 07:00:00,68321.41,0.00029210882819267174,0.05,,19.957287015571087
buy,2026-02-17 22:15:00,67699.99,0.0004554632445584533,0.05,30.834857101974848,
sell,2026-02-18 00:15:00,67495.79,0.0003002765490109608,0.05,,20.267402893968516
buy,2026-02-18 06:45:00,67850.52,0.00044666546979410814,0.05,30.306484391574532,
sell,2026-02-18 13:45:00,67236.88,0.0003075959950501182,0.05,,20.68179500766539
buy,2026-02-19 04:00:00,66985.58,0.0004452488120932756,0.05,29.82524992237908,
sell,2026-02-19 12:45:00,66516.67,0.000314478635902276,0.05,,20.918071646361845
buy,2026-02-19 20:15:00,66940.0,0.0004388988797218138,0.05,29.379891008578216,
sell,2026-02-20 14:15:00,66976.34,0.0003206996480932529,0.05,,21.479288668574057
buy,2026-02-20 20:30:00,67734.0,0.00042792188401065954,0.05,28.984860891578013,
sell,2026-02-21 06:45:00,67793.38,0.00032606075988912323,0.05,,22.10476099825209
buy,2026-02-21 09:15:00,68235.09,0.0004197379368432242,0.05,28.640855896911717,
sell,2026-02-21 23:45:00,67975.93,0.00033074461873682827,0.05,,22.482673051131325
buy,2026-02-22 10:30:00,68099.36,0.0004160530547515086,0.05,28.332946754622697,
sell,2026-02-22 14:00:00,67650.31,0.0003350100405375623,0.05,,22.663533095478655
