short_window,long_window,trend_window,rsi_buy,rsi_sell,cross_persist,tp_pct,sl_pct,use_vol_filter,trades,win_rate,total_pnl,final_portf,sharpe,max_drawdown,avg_candles
10,50,200,55,45,1,0.03,0.01,True,114,45.6,264.41,1264.41,1.41,-14.96,57.2
10,50,200,55,45,1,0.08,0.01,True,113,44.2,279.24,1279.24,1.27,-14.29,64.1
10,50,200,55,45,1,0.05,0.01,True,113,44.2,261.26,1261.26,1.26,-14.77,62.1
10,50,100,55,45,1,0.03,0.01,True,113,41.6,203.94,1203.94,1.12,-11.73,56.7
10,50,200,55,45,1,0.08,0.02,True,112,52.7,240.66,1240.66,1.0,-17.87,81.6
10,50,100,55,45,1,0.05,0.01,True,112,40.2,197.44,1197.44,0.98,-11.48,62.1
10,50,200,55,45,1,0.05,0.02,True,112,52.7,222.68,1222.68,0.96,-18.58,79.7
10,50,200,55,45,1,0.03,0.02,True,113,53.1,206.33,1206.33,0.96,-20.48,73.9
10,50,100,55,45,1,0.08,0.01,True,112,40.2,182.03,1182.03,0.89,-11.4,64.0
10,50,200,55,45,1,0.08,0.03,True,111,54.1,186.33,1186.33,0.73,-21.37,86.9
10,50,200,55,45,1,0.05,0.03,True,111,54.1,168.35,1168.35,0.68,-22.49,84.9
10,50,100,55,45,1,0.03,0.02,True,114,48.2,144.03,1144.03,0.68,-24.32,70.3
10,50,200,55,45,1,0.03,0.03,True,112,54.5,152.0,1152.0,0.66,-24.27,79.1
10,50,100,55,45,1,0.05,0.02,True,113,46.9,111.86,1111.86,0.48,-20.71,76.2
10,50,100,55,45,1,0.08,0.02,True,113,46.9,96.45,1096.45,0.41,-19.39,78.1
10,50,100,55,45,1,0.03,0.03,True,114,49.1,65.76,1065.76,0.28,-32.63,75.6
10,100,200,55,45,1,0.08,0.01,True,66,36.4,25.87,1025.87,0.15,-16.3,64.3
10,50,100,55,45,1,0.05,0.03,True,113,47.8,33.59,1033.59,0.14,-28.65,81.6
10,50,100,55,45,1,0.08,0.03,True,113,47.8,18.18,1018.18,0.07,-26.79,83.5
10,100,200,55,45,1,0.08,0.02,True,68,41.2,-10.69,989.31,-0.06,-17.99,79.0
10,100,200,55,45,1,0.08,0.03,True,68,41.2,-40.45,959.55,-0.2,-20.48,85.5
10,100,200,55,45,1,0.05,0.01,True,66,36.4,-32.97,967.03,-0.22,-18.42,62.5
10,100,200,55,45,1,0.05,0.02,True,68,41.2,-69.54,930.46,-0.4,-19.63,77.3
10,100,200,55,45,1,0.05,0.03,True,68,41.2,-99.29,900.71,-0.55,-23.21,83.8
10,100,200,55,45,1,0.03,0.01,True,66,36.4,-89.4,910.6,-0.68,-20.34,60.1
20,50,100,55,45,1,0.03,0.01,True,72,37.5,-105.49,894.51,-0.78,-12.82,57.3
10,100,200,55,45,1,0.03,0.02,True,68,41.2,-128.84,871.16,-0.82,-21.56,74.1
20,50,100,55,45,1,0.05,0.01,True,72,34.7,-135.79,864.21,-0.92,-17.54,61.9
10,100,200,55,45,1,0.03,0.03,True,68,41.2,-158.6,841.4,-0.96,-25.17,80.6
50,100,200,55,45,1,0.05,0.02,True,41,34.1,-129.34,870.66,-1.05,-12.33,75.5
20,50,100,55,45,1,0.08,0.01,True,72,34.7,-160.86,839.14,-1.14,-17.19,62.9
20,100,200,55,45,1,0.03,0.01,True,30,33.3,-86.38,913.62,-1.16,-9.4,63.6
20,50,200,55,45,1,0.03,0.01,True,75,32.0,-174.16,825.84,-1.25,-19.97,53.3
20,50,200,55,45,1,0.05,0.01,True,75,29.3,-220.26,779.74,-1.49,-23.94,57.5
20,50,100,55,45,1,0.03,0.02,True,72,38.9,-241.63,758.37,-1.53,-25.15,71.4
50,100,200,55,45,1,0.08,0.02,True,41,34.1,-166.04,833.96,-1.53,-14.77,76.9
50,100,200,55,45,1,0.05,0.01,True,42,31.0,-144.49,855.51,-1.55,-14.57,56.9
