short_window,long_window,trend_window,rsi_buy,rsi_sell,cross_persist,tp_pct,sl_pct,use_vol_filter,trades,win_rate,total_pnl,final_portf,sharpe,max_drawdown,avg_candles
20,100,200,55,45,2,0.08,0.01,False,57,38.6,11.84,1011.84,0.69,-0.91,70.1
20,100,200,55,45,2,0.08,0.03,False,56,42.9,11.95,1011.95,0.65,-1.08,91.1
20,100,200,55,45,2,0.05,0.01,False,57,38.6,8.04,1008.04,0.51,-0.91,68.2
20,100,200,55,45,2,0.05,0.03,False,56,42.9,8.15,1008.15,0.48,-1.08,89.2
20,100,200,55,45,2,0.08,0.02,False,56,42.9,6.75,1006.75,0.36,-1.19,82.2
20,100,200,55,45,2,0.03,0.03,False,56,44.6,4.0,1004.0,0.27,-1.05,82.7
20,100,200,55,45,2,0.03,0.01,False,57,40.4,2.83,1002.83,0.22,-0.89,62.4
20,100,200,55,45,2,0.05,0.02,False,56,42.9,2.95,1002.95,0.17,-1.19,80.3
20,100,200,55,45,2,0.03,0.02,False,56,44.6,-0.68,999.32,-0.05,-1.22,74.7
50,100,200,55,45,2,0.08,0.01,False,74,35.1,-5.51,994.49,-0.31,-1.4,64.4
50,100,200,55,45,2,0.05,0.01,False,74,35.1,-6.68,993.32,-0.41,-1.4,62.5
50,100,200,55,45,2,0.05,0.02,False,74,39.2,-8.0,992.0,-0.43,-1.76,75.6
50,100,200,55,45,2,0.08,0.02,False,74,39.2,-9.6,990.4,-0.49,-1.76,78.1
50,100,200,55,45,2,0.05,0.03,False,74,41.9,-12.69,987.31,-0.63,-1.99,83.2
20,50,200,55,45,2,0.08,0.01,False,123,30.1,-14.23,985.77,-0.65,-2.23,64.3
50,100,200,55,45,2,0.08,0.03,False,74,41.9,-14.29,985.71,-0.68,-1.95,85.7
20,50,200,55,45,2,0.05,0.01,False,124,30.6,-15.4,984.6,-0.77,-2.1,62.4
10,100,200,55,45,2,0.08,0.03,False,67,34.3,-13.1,986.9,-0.83,-2.09,87.8
10,100,200,55,45,2,0.03,0.03,False,67,35.8,-12.72,987.28,-0.86,-2.2,81.6
10,100,200,55,45,2,0.05,0.03,False,67,34.3,-13.45,986.55,-0.87,-2.1,86.7
50,100,200,55,45,2,0.03,0.01,False,74,35.1,-13.61,986.39,-0.99,-1.67,59.5
50,100,200,55,45,2,0.03,0.02,False,74,39.2,-16.93,983.07,-1.06,-2.29,72.5
20,50,200,55,45,2,0.03,0.01,False,124,31.5,-20.08,979.92,-1.13,-1.96,59.9
10,100,200,55,45,2,0.08,0.02,False,67,32.8,-17.7,982.3,-1.14,-2.5,79.6
10,100,200,55,45,2,0.05,0.02,False,67,32.8,-18.05,981.95,-1.18,-2.43,78.6
10,100,200,55,45,2,0.03,0.02,False,67,34.3,-17.31,982.69,-1.19,-2.63,73.5
50,100,200,55,45,2,0.03,0.03,False,74,41.9,-21.61,978.39,-1.21,-2.66,80.1
20,50,200,55,45,2,0.08,0.03,False,120,33.3,-30.74,969.26,-1.24,-3.13,86.1
20,50,100,55,45,2,0.08,0.01,False,133,24.8,-28.47,971.53,-1.31,-3.15,58.4
20,50,200,55,45,2,0.05,0.03,False,121,33.9,-31.9,968.1,-1.37,-3.24,83.9
10,50,200,55,45,2,0.05,0.01,False,123,30.9,-25.71,974.29,-1.4,-2.7,63.4
10,50,200,55,45,2,0.05,0.02,False,120,37.5,-31.24,968.76,-1.44,-3.22,77.0
10,100,200,55,45,2,0.08,0.01,False,67,26.9,-18.81,981.19,-1.45,-2.61,61.5
20,50,200,55,45,2,0.08,0.02,False,121,32.2,-36.45,963.55,-1.48,-3.7,78.5
10,50,200,55,45,2,0.08,0.01,False,123,30.9,-27.18,972.82,-1.49,-2.85,64.9
10,50,200,55,45,2,0.08,0.02,False,120,37.5,-32.71,967.29,-1.52,-3.36,78.5
10,100,200,55,45,2,0.03,0.01,False,67,28.4,-18.4,981.6,-1.54,-2.65,56.6
10,50,100,55,45,2,0.05,0.02,False,131,38.2,-33.7,966.3,-1.58,-4.28,75.7
10,50,100,55,45,2,0.08,0.02,False,131,38.2,-33.95,966.05,-1.6,-4.28,76.7
10,100,200,55,45,2,0.05,0.01,False,67,26.9,-20.12,979.88,-1.63,-2.74,60.9
