short_window,long_window,trend_window,rsi_buy,rsi_sell,cross_persist,tp_pct,sl_pct,use_vol_filter,max_candles,trades,win_rate,total_pnl,final_portf,sharpe,max_drawdown,avg_candles
20,100,200,55,45,2,0.08,0.01,False,96,57,38.6,11.84,1011.84,0.69,-0.91,70.1
20,100,200,55,45,2,0.08,0.03,False,96,56,42.9,11.95,1011.95,0.65,-1.08,91.1
20,100,200,55,45,2,0.05,0.01,False,96,57,38.6,8.04,1008.04,0.51,-0.91,68.2
20,100,200,55,45,2,0.05,0.03,False,96,56,42.9,8.15,1008.15,0.48,-1.08,89.2
50,100,200,55,45,2,0.08,0.01,False,192,72,30.6,10.78,1010.78,0.46,-1.32,93.9
20,100,200,55,45,2,0.08,0.01,False,384,53,26.4,9.74,1009.74,0.43,-1.38,143.2
20,100,200,55,45,2,0.08,0.01,False,192,56,28.6,8.9,1008.9,0.4,-1.4,104.2
20,100,200,55,45,2,0.08,0.02,False,96,56,42.9,6.75,1006.75,0.36,-1.19,82.2
50,100,200,55,45,2,0.08,0.02,False,192,71,40.8,7.29,1007.29,0.28,-1.81,129.4
20,100,200,55,45,2,0.03,0.03,False,96,56,44.6,4.0,1004.0,0.27,-1.05,82.7
20,100,200,55,45,2,0.03,0.01,False,96,57,40.4,2.83,1002.83,0.22,-0.89,62.4
20,100,200,55,45,2,0.05,0.02,False,96,56,42.9,2.95,1002.95,0.17,-1.19,80.3
50,100,200,55,45,2,0.05,0.01,False,192,72,30.6,2.92,1002.92,0.15,-1.33,90.0
50,100,200,55,45,2,0.08,0.01,False,384,70,22.9,2.6,1002.6,0.1,-2.22,124.4
50,100,200,55,45,2,0.05,0.02,False,192,72,40.3,2.18,1002.18,0.09,-1.83,121.4
50,100,200,55,45,2,0.08,0.03,False,384,67,43.3,1.74,1001.74,0.06,-2.98,225.9
50,100,200,55,45,2,0.08,0.03,False,192,71,42.3,0.59,1000.59,0.02,-2.45,145.5
20,100,200,55,45,2,0.05,0.01,False,192,56,28.6,0.01,1000.01,0.0,-1.35,94.8
20,100,200,55,45,2,0.05,0.01,False,384,55,25.5,-0.16,999.84,-0.01,-1.63,119.1
10,50,200,55,45,2,0.08,0.02,False,384,105,33.3,-0.51,999.49,-0.01,-2.79,193.7
50,100,200,55,45,2,0.05,0.03,False,192,72,43.1,-0.74,999.26,-0.03,-2.44,139.9
50,100,200,55,45,2,0.08,0.02,False,384,68,36.8,-0.83,999.17,-0.03,-3.04,191.9
20,100,200,55,45,2,0.03,0.02,False,96,56,44.6,-0.68,999.32,-0.05,-1.22,74.7
50,100,200,55,45,2,0.05,0.02,False,384,70,37.1,-4.57,995.43,-0.18,-2.34,162.7
50,100,200,55,45,2,0.05,0.01,False,384,71,23.9,-4.16,995.84,-0.2,-1.76,106.3
10,100,200,55,45,2,0.05,0.02,False,384,65,32.3,-5.53,994.47,-0.22,-3.29,160.9
10,100,200,55,45,2,0.05,0.03,False,384,65,36.9,-6.61,993.39,-0.24,-4.32,205.9
10,100,200,55,45,2,0.08,0.01,False,384,65,20.0,-5.52,994.48,-0.26,-2.52,124.8
