short,long,trend,rsi_b,rsi_s,cp,tp,sl,train_sharpe,test_sharpe,test_wr%,test_pnl,test_dd%,test_n,pass
20,100,200,55,45,2,0.08,0.01,0.69,-1.07,31.6,-5.31,-0.62,19,no
20,100,200,55,45,2,0.08,0.03,0.65,-1.75,31.6,-13.05,-1.39,19,no
20,100,200,55,45,2,0.05,0.01,0.51,-1.07,31.6,-5.31,-0.62,19,no
20,100,200,55,45,2,0.05,0.03,0.48,-1.75,31.6,-13.05,-1.39,19,no
50,100,200,55,45,2,0.08,0.01,0.46,0.56,38.5,7.04,-1.36,26,no
20,100,200,55,45,2,0.08,0.01,0.43,0.1,22.2,1.19,-0.71,18,no
20,100,200,55,45,2,0.08,0.01,0.4,-0.26,22.2,-2.3,-0.62,18,no
20,100,200,55,45,2,0.08,0.02,0.36,-1.65,31.6,-10.71,-1.16,19,no
50,100,200,55,45,2,0.08,0.02,0.28,0.94,48.0,14.9,-0.93,25,no
20,100,200,55,45,2,0.03,0.03,0.27,-1.49,31.6,-11.84,-1.27,19,no
