short_window,long_window,trend_window,rsi_buy,rsi_sell,cross_persist,tp_pct,sl_pct,use_vol_filter,trades,win_rate,total_pnl,final_portf,sharpe,max_drawdown,avg_candles
20,100,200,55,45,2,0.08,0.01,False,13,38.5,14.4,1014.4,1.07,-0.35,53.7
20,100,200,55,45,2,0.03,0.01,False,13,46.2,9.38,1009.38,1.03,-0.35,41.5
20,100,200,55,45,2,0.05,0.01,False,13,38.5,9.77,1009.77,0.89,-0.35,52.3
10,50,200,55,45,2,0.03,0.01,False,30,40.0,10.8,1010.8,0.84,-0.74,26.2
10,50,200,55,45,2,0.05,0.01,False,30,30.0,14.12,1014.12,0.83,-0.74,35.4
20,100,200,55,45,2,0.08,0.02,False,13,38.5,10.11,1010.11,0.7,-0.37,62.2
10,50,200,55,45,2,0.08,0.01,False,30,23.3,10.94,1010.94,0.56,-1.03,40.3
20,100,200,55,45,2,0.08,0.03,False,13,46.2,7.58,1007.58,0.49,-0.45,72.5
20,100,200,55,45,2,0.03,0.02,False,13,46.2,4.76,1004.76,0.46,-0.37,47.5
20,100,200,55,45,2,0.05,0.02,False,13,38.5,5.48,1005.48,0.45,-0.37,60.8
10,100,200,55,45,2,0.08,0.03,False,24,41.7,7.26,1007.26,0.37,-1.15,64.7
10,100,200,55,45,2,0.05,0.01,False,26,30.8,4.25,1004.25,0.31,-1.0,30.6
20,100,200,55,45,2,0.05,0.03,False,13,46.2,2.95,1002.95,0.22,-0.45,71.1
10,50,200,55,45,2,0.05,0.02,False,29,34.5,3.8,1003.8,0.19,-1.38,45.0
20,100,200,55,45,2,0.03,0.03,False,13,53.8,2.23,1002.23,0.19,-0.36,57.7
10,100,200,55,45,2,0.08,0.01,False,26,26.9,2.83,1002.83,0.18,-1.5,34.8
10,100,200,55,45,2,0.05,0.03,False,25,44.0,3.14,1003.14,0.18,-1.16,54.9
10,50,200,55,45,2,0.03,0.02,False,29,44.8,2.35,1002.35,0.16,-1.56,32.2
10,50,200,55,45,2,0.08,0.02,False,29,27.6,3.36,1003.36,0.15,-1.52,52.1
10,50,200,55,45,2,0.05,0.03,False,29,41.4,3.32,1003.32,0.15,-1.66,56.4
20,50,200,55,45,2,0.03,0.01,False,29,34.5,1.34,1001.34,0.12,-0.53,33.7
10,100,200,55,45,2,0.08,0.02,False,24,33.3,1.1,1001.1,0.06,-1.35,51.6
10,50,200,55,45,2,0.08,0.03,False,29,34.5,1.17,1001.17,0.05,-1.68,63.9
10,50,200,55,45,2,0.03,0.03,False,29,51.7,0.28,1000.28,0.02,-2.17,41.9
10,100,200,55,45,2,0.03,0.01,False,26,34.6,-0.05,999.95,-0.0,-1.05,24.3
10,50,100,55,45,2,0.08,0.01,False,28,17.9,-0.4,999.6,-0.02,-1.58,35.3
10,100,200,55,45,2,0.05,0.02,False,25,36.0,-0.42,999.58,-0.03,-1.18,43.2
10,100,200,55,45,2,0.03,0.03,False,26,46.2,-1.15,998.85,-0.08,-1.16,44.6
10,50,100,55,45,2,0.05,0.01,False,28,21.4,-2.07,997.93,-0.14,-1.94,31.3
20,50,200,55,45,2,0.08,0.01,False,29,27.6,-2.99,997.01,-0.2,-1.09,42.8
10,50,100,55,45,2,0.08,0.02,False,28,25.0,-4.41,995.59,-0.21,-1.72,50.7
20,50,200,55,45,2,0.03,0.02,False,28,42.9,-3.05,996.95,-0.21,-1.35,44.2
50,100,200,55,45,2,0.08,0.02,False,30,33.3,-4.54,995.46,-0.21,-1.81,50.6
10,50,100,55,45,2,0.08,0.03,False,28,32.1,-4.76,995.24,-0.21,-2.02,63.1
20,50,100,55,45,2,0.03,0.01,False,30,30.0,-2.55,997.45,-0.23,-1.12,31.0
20,50,200,55,45,2,0.08,0.03,False,27,44.4,-5.51,994.49,-0.27,-2.29,68.7
50,100,200,55,45,2,0.08,0.03,False,29,41.4,-5.97,994.03,-0.29,-2.32,65.9
20,50,200,55,45,2,0.08,0.02,False,28,35.7,-5.92,994.08,-0.3,-2.21,54.3
50,100,200,55,45,2,0.08,0.01,False,30,23.3,-5.88,994.12,-0.34,-1.98,36.4
10,50,100,55,45,2,0.05,0.03,False,28,35.7,-6.88,993.12,-0.34,-2.5,58.4
20,50,200,55,45,2,0.03,0.03,False,27,48.1,-6.02,993.98,-0.39,-1.78,57.9
10,50,100,55,45,2,0.05,0.02,False,28,28.6,-8.25,991.75,-0.45,-2.27,46.5
10,50,100,55,45,2,0.03,0.01,False,28,28.6,-5.47,994.53,-0.47,-2.14,23.4
10,100,200,55,45,2,0.03,0.02,False,26,38.5,-6.48,993.52,-0.51,-1.35,34.2
20,50,100,55,45,2,0.03,0.02,False,30,36.7,-7.78,992.22,-0.54,-1.57,40.8
20,50,200,55,45,2,0.05,0.01,False,29,27.6,-6.53,993.47,-0.54,-1.1,40.7
20,50,100,55,45,2,0.03,0.03,False,30,40.0,-10.11,989.89,-0.65,-1.5,52.2
10,50,100,55,45,2,0.03,0.03,False,28,42.9,-11.85,988.15,-0.74,-2.95,45.0
20,50,100,55,45,2,0.08,0.01,False,30,20.0,-10.8,989.2,-0.76,-1.43,40.4
50,100,200,55,45,2,0.05,0.03,False,29,41.4,-13.58,986.42,-0.77,-2.27,61.1
