short,long,trend,rsi_b,rsi_s,cp,tp,sl,train_sharpe,test_sharpe,test_wr%,test_pnl,test_dd%,test_n,pass
20,100,200,55,45,2,0.03,0.03,8.75,18.16,100.0,7.18,0.0,2,no
20,100,200,55,45,2,0.03,0.01,8.75,18.16,100.0,7.18,0.0,2,no
20,100,200,55,45,2,0.03,0.02,8.75,18.16,100.0,7.18,0.0,2,no
10,50,200,55,45,2,0.03,0.03,1.54,-0.57,33.3,-3.81,-0.34,3,no
10,50,200,55,45,2,0.03,0.02,1.22,-0.4,33.3,-2.39,-0.32,3,no
10,100,200,55,45,2,0.08,0.02,1.04,0.0,100.0,1.36,0.0,1,no
10,50,200,55,45,2,0.08,0.02,0.99,-6.55,0.0,-9.59,-0.72,3,no
10,50,200,55,45,2,0.08,0.03,0.93,-18.88,0.0,-11.01,-0.75,3,no
10,50,100,55,45,2,0.03,0.03,0.9,-0.57,33.3,-3.81,-0.34,3,no
10,50,100,55,45,2,0.03,0.02,0.88,-0.4,33.3,-2.39,-0.32,3,no
