roc_window,smooth_window,trend_window,roc_buy,roc_sell,tp_pct,sl_pct,max_candles,trades,win_rate,total_pnl,final_portf,sharpe,max_drawdown,avg_candles
10,3,200,2.0,-2.0,0.03,0.02,192,209,44.0,-11.62,988.38,-0.3,-3.14,80.1
10,3,200,2.0,-3.0,0.03,0.03,192,130,49.2,-11.37,988.63,-0.32,-3.88,103.9
10,3,200,2.0,-2.0,0.03,0.03,192,201,48.3,-14.11,985.89,-0.34,-3.68,96.7
10,3,200,2.0,-3.0,0.05,0.03,192,117,41.9,-17.77,982.23,-0.48,-4.47,124.5
20,3,200,3.0,-3.0,0.03,0.02,192,140,42.1,-21.29,978.71,-0.66,-3.2,66.2
10,3,200,2.0,-2.0,0.05,0.03,192,172,40.1,-31.53,968.47,-0.72,-4.99,123.5
10,3,200,2.0,-3.0,0.03,0.02,192,137,43.1,-22.7,977.3,-0.72,-4.94,76.1
10,3,200,3.0,-2.0,0.03,0.02,192,149,40.9,-31.26,968.74,-0.97,-3.91,73.6
20,3,200,2.0,-3.0,0.03,0.03,192,205,49.3,-43.35,956.65,-1.0,-6.49,101.0
20,3,200,2.0,-3.0,0.03,0.02,192,222,42.8,-39.4,960.6,-1.0,-5.91,79.6
10,3,200,2.0,-2.0,0.03,0.03,96,205,45.9,-46.41,953.59,-1.21,-5.41,66.9
10,3,200,2.0,-3.0,0.03,0.03,96,133,42.1,-38.89,961.11,-1.25,-5.87,69.1
10,3,200,2.0,-2.0,0.03,0.02,96,212,42.0,-43.54,956.46,-1.25,-4.9,57.8
20,3,200,3.0,-3.0,0.03,0.03,192,132,46.2,-46.19,953.81,-1.27,-5.35,87.7
10,3,200,2.0,-2.0,0.05,0.02,192,185,35.1,-51.71,948.29,-1.28,-6.73,102.8
20,3,200,3.0,-3.0,0.03,0.02,96,140,40.7,-39.91,960.09,-1.33,-4.54,48.3
10,3,200,3.0,-2.0,0.03,0.02,96,151,42.4,-43.01,956.99,-1.42,-5.27,53.9
10,3,200,3.0,-2.0,0.03,0.03,192,143,44.8,-52.63,947.37,-1.43,-5.57,86.1
20,3,200,3.0,-2.0,0.03,0.03,192,207,45.9,-65.07,934.93,-1.52,-7.32,99.1
10,3,200,2.0,-3.0,0.03,0.02,96,138,38.4,-43.12,956.88,-1.52,-5.83,55.4
20,3,200,2.0,-2.0,0.03,0.03,192,281,45.6,-72.62,927.38,-1.53,-9.41,102.4
20,3,200,3.0,-3.0,0.05,0.02,192,126,32.5,-55.49,944.51,-1.6,-6.46,88.9
10,3,200,3.0,-3.0,0.03,0.02,192,76,36.8,-39.04,960.96,-1.66,-4.98,60.5
20,3,200,2.0,-3.0,0.03,0.03,96,211,44.1,-65.28,934.72,-1.68,-7.67,68.0
10,3,200,3.0,-2.0,0.05,0.03,192,118,35.6,-65.46,934.54,-1.78,-7.7,117.4
10,3,200,3.0,-3.0,0.03,0.02,96,76,35.5,-39.71,960.29,-1.79,-5.0,46.3
20,3,200,2.0,-3.0,0.03,0.02,96,226,40.3,-65.44,934.56,-1.8,-7.81,55.8
10,3,200,2.0,-3.0,0.05,0.02,192,125,33.6,-59.52,940.48,-1.8,-7.69,93.7
20,3,200,3.0,-2.0,0.05,0.03,192,176,38.1,-78.35,921.65,-1.8,-8.07,124.3
10,3,200,3.0,-2.0,0.05,0.02,192,129,31.8,-61.2,938.8,-1.83,-7.18,98.5
20,3,200,3.0,-2.0,0.05,0.02,192,189,34.4,-74.68,925.32,-1.86,-7.81,101.8
10,3,200,2.0,-2.0,0.05,0.03,96,186,41.4,-70.4,929.6,-1.88,-7.91,78.2
10,3,200,3.0,-2.0,0.03,0.03,96,146,45.2,-64.65,935.35,-1.89,-7.16,62.7
20,3,200,3.0,-2.0,0.03,0.02,192,223,39.9,-73.21,926.79,-1.91,-8.01,77.6
10,3,200,3.0,-3.0,0.03,0.03,192,73,39.7,-52.65,947.35,-1.91,-6.06,79.2
20,3,200,2.0,-2.0,0.05,0.03,192,249,36.5,-96.33,903.67,-1.96,-11.23,121.4
20,3,200,2.0,-3.0,0.05,0.03,192,185,38.4,-88.97,911.03,-1.98,-10.67,119.8
20,3,200,3.0,-3.0,0.03,0.03,96,135,42.2,-68.45,931.55,-2.03,-7.29,62.8
10,3,200,2.0,-3.0,0.05,0.03,96,122,40.2,-60.58,939.42,-2.05,-6.98,77.8
10,3,200,3.0,-3.0,0.05,0.03,192,64,32.8,-60.36,939.64,-2.18,-6.55,103.2
20,3,200,2.0,-3.0,0.05,0.02,192,199,32.7,-89.99,910.01,-2.2,-10.22,99.1
20,3,200,3.0,-3.0,0.05,0.03,192,120,35.8,-84.16,915.84,-2.2,-8.72,112.7
20,3,200,2.0,-2.0,0.03,0.03,96,293,42.7,-96.77,903.23,-2.26,-11.11,69.1
20,3,200,2.0,-2.0,0.03,0.02,192,307,40.1,-101.94,898.06,-2.3,-12.0,84.1
10,3,200,3.0,-2.0,0.05,0.03,96,130,38.5,-76.23,923.77,-2.31,-8.54,77.1
20,3,200,3.0,-2.0,0.03,0.03,96,217,42.9,-90.67,909.33,-2.35,-10.08,68.2
10,3,200,3.0,-3.0,0.03,0.03,96,74,36.5,-59.61,940.39,-2.38,-6.88,58.5
20,3,200,3.0,-2.0,0.03,0.02,96,226,39.4,-86.08,913.92,-2.43,-9.52,56.2
10,3,200,3.0,-2.0,0.05,0.02,96,137,35.8,-74.45,925.55,-2.53,-8.11,65.5
10,3,200,2.0,-2.0,0.05,0.02,96,195,37.4,-87.28,912.72,-2.57,-9.18,67.4
20,3,200,2.0,-2.0,0.05,0.02,192,268,32.8,-118.8,881.2,-2.57,-13.22,102.2
10,3,200,3.0,-3.0,0.05,0.02,192,68,26.5,-63.03,936.97,-2.71,-6.4,79.5
20,3,200,3.0,-3.0,0.05,0.02,96,128,34.4,-80.63,919.37,-2.81,-8.26,61.0
20,3,200,3.0,-2.0,0.05,0.02,96,198,36.4,-94.89,905.11,-2.81,-10.17,69.4
20,3,200,2.0,-2.0,0.03,0.02,96,312,38.8,-115.05,884.95,-2.81,-12.52,59.2
20,3,200,3.0,-2.0,0.05,0.03,96,190,38.9,-104.35,895.65,-2.85,-11.01,81.2
20,3,200,2.0,-3.0,0.05,0.03,96,196,40.3,-111.73,888.27,-2.92,-11.72,76.0
20,3,200,2.0,-2.0,0.05,0.03,96,263,38.8,-128.71,871.29,-3.06,-13.69,78.6
10,3,200,2.0,-3.0,0.05,0.02,96,128,34.4,-84.06,915.94,-3.08,-8.73,63.5
10,3,200,3.0,-3.0,0.05,0.03,96,66,31.8,-72.78,927.22,-3.14,-7.38,71.0
20,3,200,2.0,-3.0,0.05,0.02,96,205,36.1,-110.58,889.42,-3.14,-11.57,65.4
20,3,200,3.0,-3.0,0.05,0.03,96,125,36.8,-103.34,896.66,-3.24,-10.53,74.4
10,3,200,3.0,-3.0,0.05,0.02,96,69,27.5,-67.66,932.34,-3.26,-6.86,57.2
20,3,200,2.0,-2.0,0.05,0.02,96,277,36.1,-134.68,865.32,-3.4,-14.17,69.4
