roc_w,smooth,trend,roc_b,roc_s,tp,sl,train_sharpe,test_sharpe,test_wr%,test_pnl,test_dd%,test_n,pass
10,3,200,2.0,-2.0,0.03,0.02,-0.3,-0.05,44.7,-1.33,-3.49,85,no
10,3,200,2.0,-3.0,0.03,0.03,-0.32,-0.28,50.0,-6.31,-2.87,48,no
10,3,200,2.0,-2.0,0.03,0.03,-0.34,0.02,50.0,0.57,-3.85,84,no
10,3,200,2.0,-3.0,0.05,0.03,-0.48,-0.41,44.2,-9.3,-3.35,43,no
20,3,200,3.0,-3.0,0.03,0.02,-0.66,-1.8,31.5,-37.01,-4.31,54,no
10,3,200,2.0,-2.0,0.05,0.03,-0.72,0.21,47.1,5.63,-3.73,68,no
10,3,200,2.0,-3.0,0.03,0.02,-0.72,-0.64,39.6,-12.44,-2.74,48,no
10,3,200,3.0,-2.0,0.03,0.02,-0.97,0.57,50.0,12.85,-2.34,64,no
20,3,200,2.0,-3.0,0.03,0.03,-1.0,-0.52,44.3,-12.79,-3.15,70,no
20,3,200,2.0,-3.0,0.03,0.02,-1.0,-1.62,34.2,-36.51,-4.87,73,no
