type,timestamp,price,btc_amount,pct_per_trade,cash_in,cash_out
buy,2017-08-19 16:45:00,4000.0,0.0125,0.05,50.0,
sell,2017-08-20 14:00:00,4079.84,0.0006250000000000001,0.05,,2.5499000000000005
buy,2017-08-20 19:30:00,4170.76,0.011419380400694358,0.05,47.627495,
sell,2017-08-21 02:00:00,4088.5,0.0011647190200347178,0.05,,4.761953713411944
buy,2017-08-21 22:15:00,4039.09,0.011261006299852343,0.05,45.4842179356706,
sell,2017-08-22 01:00:00,3884.99,0.001669533384025599,0.05,,6.486120501605612
buy,2017-08-22 11:00:00,3872.45,0.011242059436265762,0.05,43.534313063967346,
sell,2017-08-23 19:45:00,4117.07,0.0021481596866376076,0.05,,8.844123801065095
buy,2017-08-24 05:00:00,4140.76,0.010094717781475436,0.05,41.79980360082223,
sell,2017-08-25 09:30:00,4338.58,0.002545487591379499,0.05,,11.043801554207267
buy,2017-08-25 11:30:00,4344.0,0.00926841701162327,0.05,40.26200349849148,
sell,2017-08-25 21:45:00,4288.99,0.0028816340623916874,0.05,,12.359299677257322
buy,2017-08-26 07:45:00,4319.7,0.008997585088647309,0.05,38.866868307429776,
sell,2017-08-26 13:15:00,4247.94,0.0031874316137044684,0.05,,13.540018249119758
buy,2017-08-26 21:00:00,4323.64,0.008696497813072844,0.05,37.60052580451428,
sell,2017-08-27 07:15:00,4330.61,0.003462884923672887,0.05,,14.996404079307041
buy,2017-08-27 16:15:00,4338.0,0.008407173747868583,0.05,36.47031971825391,
sell,2017-08-28 01:00:00,4267.78,0.0037100993648826715,0.05,,15.833887867458968
buy,2017-08-28 11:15:00,4288.07,0.008264440208698593,0.05,35.43849812571417,
sell,2017-08-29 10:30:00,4347.02,0.003937816407073468,0.05,,17.11776667787651
buy,2017-08-29 13:00:00,4408.09,0.007831614498189076,0.05,34.52246155332228,
sell,2017-08-30 08:15:00,4577.23,0.004132506311629248,0.05,,18.91543186477874
buy,2017-08-30 17:00:00,4550.16,0.0074155875988745675,0.05,33.7421100688951,
sell,2017-08-30 23:15:00,4552.22,0.004296660375991514,0.05,,19.55934329679609
buy,2017-08-31 02:00:00,4570.65,0.0072271934473849804,0.05,33.03297173029016,
sell,2017-09-01 06:30:00,4673.24,0.004443187029561187,0.05,,20.76407935402652
buy,2017-09-01 10:15:00,4766.01,0.0068022364853361555,0.05,32.419527111476974,
sell,2017-09-02 05:45:00,4473.35,0.004561139502349936,0.05,,20.403573392837085
buy,2017-09-03 02:00:00,4467.89,0.007121645659482435,0.05,31.81872942554498,
sell,2017-09-03 11:30:00,4488.9,0.004689164810206561,0.05,,21.049191916536227
buy,2017-09-03 20:45:00,4505.18,0.0069431748676178386,0.05,31.280252550094538,
sell,2017-09-04 03:00:00,4408.0,0.004801865313077125,0.05,,21.166622300043965
buy,2017-09-04 22:45:00,4131.88,0.0074480795757843905,0.05,30.774571037592008,
sell,2017-09-05 01:30:00,3830.0,0.004934176026212488,0.05,,18.89789418039383
buy,2017-09-05 09:00:00,4065.77,0.00742312949201064,0.05,30.1807371947321,
sell,2017-09-06 07:00:00,4405.0,0.005058623699502395,0.05,,22.28323739630805
buy,2017-09-06 08:00:00,4488.7,0.00663574357939067,0.05,29.7858622048109,
sell,2017-09-07 04:30:00,4537.22,0.005137479693496809,0.05,,23.30987561492759
buy,2017-09-07 11:30:00,4614.99,0.006383992787701975,0.05,29.462062875316736,
sell,2017-09-07 22:30:00,4680.15,0.005199805348207067,0.05,,24.335869000411304
buy,2017-09-08 10:15:00,4650.0,0.006280807135821821,0.05,29.205753181571467,
sell,2017-09-08 10:30:00,4611.55,0.005253855437587805,0.05,,24.228417043208044
buy,2017-09-08 10:45:00,4659.99,0.0062139374493621865,0.05,28.956886374653294,
sell,2017-09-08 13:45:00,4353.05,0.005301859538176525,0.05,,23.07925966265932
buy,2017-09-09 02:30:00,4224.35,0.006785187079445025,0.05,28.663005039053594,
sell,2017-09-09 04:15:00,4213.26,0.00537602591523995,0.05,,22.650594947643874
buy,2017-09-09 05:00:00,4315.26,0.006572578369433848,0.05,28.36238453448311,
sell,2017-09-09 16:00:00,4262.22,0.005435853537949646,0.05,,23.16880366651974
buy,2017-09-10 00:45:00,4239.0,0.006629560153593993,0.05,28.102705491084937,
sell,2017-09-10 02:45:00,4130.01,0.005495538868731863,0.05,,22.696630483251283
buy,2017-09-10 14:45:00,4111.0,0.006770226645753649,0.05,27.832401740693253,
sell,2017-09-11 04:15:00,4180.0,0.005559273257582952,0.05,,23.23776221669674
buy,2017-09-11 04:45:00,4169.02,0.006620901258447651,0.05,27.602669764493427,
sell,2017-09-11 05:00:00,4150.44,0.005612354657626187,0.05,,23.29374126519803
buy,2017-09-11 05:15:00,4167.0,0.00657240780886217,0.05,27.38722333952866,
sell,2017-09-11 07:00:00,4185.06,0.005660357315187986,0.05,,23.688934985500637
buy,2017-09-11 14:15:00,4280.09,0.006355546009973448,0.05,27.202308921827257,
sell,2017-09-11 21:00:00,4188.0,0.005695116749927259,0.05,,23.85114894869536
buy,2017-09-12 02:30:00,4256.45,0.006351478561517383,0.05,27.034750923170662,
sell,2017-09-12 14:30:00,4279.0,0.005727934840506765,0.05,,24.50983318252845
buy,2017-09-13 19:45:00,3879.81,0.006935521336389811,0.05,26.908505036138553,
sell,2017-09-14 04:00:00,3859.99,0.005788314165300917,0.05,,22.342834794919884
buy,2017-09-15 04:45:00,3309.81,0.008060952599719508,0.05,26.680221524077623,
sell,2017-09-15 06:15:00,3240.0,0.005901946087021846,0.05,,19.122305321950783
buy,2017-09-15 14:45:00,3780.0,0.006958287225918328,0.05,26.30232571397128,
sell,2017-09-16 10:45:00,3480.0,0.00595476314396667,0.05,,20.72257574100401
buy,2017-09-16 20:45:00,3662.13,0.007106066200632668,0.05,26.023338215322912,
sell,2017-09-17 03:30:00,3604.95,0.006012328296799971,0.05,,21.674142893549053
buy,2017-09-17 14:30:00,3649.98,0.007070142425228143,0.05,25.805878449234218,
sell,2017-09-18 19:45:00,3969.48,0.006065219003221379,0.05,,24.0757655289072
buy,2017-09-19 00:00:00,4050.0,0.006350462420547622,0.05,25.71937280321787,
sell,2017-09-19 03:45:00,3971.02,0.006079481174087692,0.05,,24.141741331925704
buy,2017-09-19 12:15:00,4010.0,0.0063941374637539305,0.05,25.64049122965326,
sell,2017-09-19 19:00:00,3930.22,0.006095213988571004,0.05,,23.95553192216153
buy,2017-09-20 07:30:00,3979.9,0.006421327989215476,0.05,25.556243264278674,
sell,2017-09-20 23:15:00,3921.06,0.0061115196886032275,0.05,,23.963635390194572
buy,2017-09-21 10:45:00,3871.48,0.006580587493820055,0.05,25.476612870574467,
sell,2017-09-21 13:45:00,3856.67,0.006134973078864069,0.05,,23.66056662406269
buy,2017-09-22 04:00:00,3697.98,0.006864777678151012,0.05,25.385810558248878,
sell,2017-09-22 10:30:00,3589.64,0.006171463308828416,0.05,,22.153331551902834
buy,2017-09-22 21:45:00,3624.21,0.006959913086695191,0.05,25.22418660793158,
sell,2017-09-23 19:15:00,3734.73,0.006210885797721755,0.05,,23.19598151532537
buy,2017-09-24 00:00:00,3773.03,0.006658514868236209,0.05,25.122776353301266,
sell,2017-09-24 01:45:00,3767.47,0.006233267251247478,0.05,,23.483647371057337
buy,2017-09-24 02:15:00,3759.21,0.006661192086685518,0.05,25.040819904189068,
sell,2017-09-24 04:45:00,3672.66,0.00625466349301938,0.05,,22.971252424272556
buy,2017-09-24 15:00:00,3675.65,0.0067844711901822105,0.05,24.937341530193244,
sell,2017-09-24 20:30:00,3650.71,0.006281153877877522,0.05,,22.93067127350625
